Designator,Mid X,Mid Y,Rotation,Layer
A1,105.5,-78.0395,180.0,top
C1,114.0,-53.5,270.0,top
C11,98.0,-44.0,0.0,top
C12,114.75,-50.5,0.0,top
C2,99.4,-49.0,180.0,top
C3,118.25,-53.45,270.0,top
C4,127.25,-49.0,180.0,top
C5,122.75,-53.45,270.0,top
C6,128.5,-61.75,90.0,top
C7,122.55,-72.0,0.0,top
C8,120.5,-53.4,270.0,top
D1,106.0,-40.5,0.0,top
D2,123.25,-66.5,180.0,top
D3,120.75,-43.25,90.0,top
J1,125.25,-86.37,0.0,top
J2,125.25,-78.75,0.0,top
J3,91.025,-70.7,270.0,top
J4,127.635,-41.21,0.0,top
J5,90.0,-87.85,90.0,top
L1,107.315,-47.25,90.0,top
L2,121.25,-60.25,270.0,top
R1,89.96,-77.2,270.0,top
R2,89.96,-80.95,90.0,top
R3,114.8,-41.4,180.0,top
R4,115.0,-43.5,0.0,top
R5,130.75,-61.5,90.0,top
R6,129.1625,-58.5,180.0,top
U1,115.0,-47.0,90.0,top
U2,127.5,-55.25,270.0,top
